Jiřina Scholtzová,2025 LS,FALSE,DML,"Základy teorie čísel: dělitelnost, REA a diofantické rovnice, prvočísla, modulární aritmetika, Malá Fermatova a Eulerova věta, lineární kongruence, Čínská věta o zbytcích. Definice dělitelnosti, prvočíselného rozkladu, nej. spol dělitele/násobku, výpočet gcd/lcm z prvočíselného rozkladu, výpočet z REA a důkaz funkčnosti REA.",C,"Jak by řekl Karel Gott, tohle jsem ale skutečně nečekal. Definice pojmů nebyl problém a REA jsem uměl spočítat, nicméně korektnost jsem přesně přeskočil, snažil jsem se odvodit vztah. Konečnost jsem odvodil lehce (byť jsem si správně neformalizoval). Scholtzová se za mě místy rejpala v detailech, co mi přišly jako samozřejmost, takže jsem je neříkal / neuměl vyjádřit. Nicméně to, že jsem vařil a nedovařil bylo zřejmě vidět a za C jsem vlastně ještě rád.",
Kokeš Josef ,2024 LS,TRUE,EHA,"Základní typy zranitelností webových aplikací, jejich testování a náprava. Bezpečnostní mechanismy webových prohlížečů.",B,,
Dostál Jiří,2025 LS,TRUE,EHA,Etické hackování a penetrační testování. Metodologie provádění penetračních testů PTES a OWASP.,B,"Ptal se, jaký je hlavní rozdíl mezi etickým hackováním a penetračním testováním, rozdíly mezi black/white/grey hat attackers, potom jsem rozepsala jednotlivé metodologie podobně jako ve slidech, u post exploitation fáze chtěl slyšet ""protect the client, protect yourself""",
Buček Jiří ,2025 LS,TRUE,HWB,"Princip útoků postranními kanály. Typy postranních kanálů, časový útok na porovnání polí, útok jednoduchou odběrovou analýzou (SPA) na šifru RSA.",A,Ptal se co tedy zjistím z té SPA (privátní klíč) a jak z průběhu toho SPA ten klíč zjistím (tam kde je i multiply je log. 1). Ještě se ptal čím že se to násobí (základem toho mocnění (c)) .,
Buček Jiří ,2025 LS,TRUE,HWB,"Generátory skutečně náhodných čísel (TRNG), příklad konstrukce, základní vlastnosti. Srovnání s pseudonáhodnými generátory (PRNG).",A,"Vypsala víceméně všechno, co bylo v přednášce, ptal se na post processing a na to, jak presně můžeme kruhové oscilátory využít pro generování náhodných bitů (schéma s 2 čítači) a jaké bity poté využijeme.",
Buček Jiří ,2025 LS,TRUE,HWB,"IB 18 - Kontaktní a bezkontaktní čipové karty, princip činnosti a použití. Radiofrekvenční identifikace (RFID) a komunikace v blízkém poli (NFC). (Bez zúžení)",A,Doptal se na metody autentizace (co vím co mám co jsem) a nějaké další využití NFC než co jsem napsal. Frajer.,
Miškovský Vojtěch ,2025 LS,TRUE,HWB,Čipové karty,,,
Kodýtek Filip,2025 LS,FALSE,KAB,"Symetrické šifry blokové a proudové, základní parametry, operační módy blokových šifer, jejich základní popis a slabiny. Upřesnění na operační módy blokových šifer",B,,
Kokeš Josef,2025 LS,FALSE,KAB,"Šifra AES, její srovnání s DES a Salsou (nebo Cha-Chou, už nevím)",E,"Šlo čistě o implementaci AES a do nějaké míry druhých dvou šifer. Délka klíče, bloku, použité operace atd",
Pavlíček Josef,2024 LS,TRUE,KOM,"Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační. Příklad na vytvoření konceptuálního schématu a následného převodu do relační podoby. Příklad byl na Man(klíč id, povinné a nepovinné atributy), Woman(klíč id, povinné a nepovinné atributy), Child(nepovinné atributy). Muž může být manželem ženy, dítě je identifikováno svými rodiči.",B,"Popsal jsem vše, co se týče klasické transformace (PKs, FKs, IOs), nepopisoval jsem všechny způsoby transformací vztahů, jen ty, které se týkaly příkladu. Dítě jsem udělal jako 1:1 slabou entitu, chtěl 1:M (muž nebo žena mohou mít více dětí). Vztah muž a žena jsem udělal také 1:1 a alternativně M:N + dekompozice na Manželství. Správně bylo asi M:N a dekompozice. Dítě pak mělo mít M:1 vazbu na manželství. Něco takového. Obecně stačí umět transformaci, příklad se už vymyslí celkem snadno.",
Pavlíček Josef,2024 LS,TRUE,KOM,"Transformace konceptuálního schématu (v ER nebo jiné notaci) na relační. Příklad na vytvoření konceptuálního schématu a následného převodu do relační podoby. Zadání: Animal_species(klíč id, nějaký unique atribut), Animal(name - mandatory, age). Animal má FZ na Animal_species (je jí identifikováno). Animal může mít potomka (has_a_child).",B,,
Suchánek Marek,2025 ZS,TRUE,KOM,"Konceptuální modelování, jeho význam, základní pojmy a způsoby modelování reálného světa. OntoUML a jeho konstrukty, transformace do objektového modelu. Zúženie: OntoUML. Vzťah medzi UML a UFO. Rozdelenie entít v OntoUML a v UFO",C," Počas prípravy mi nebolo jasné či sa mám venovať len zúženiu, alebo aj širšie okruhu. Spýtal som sa dozoru ktorý mi povedal že zúženiu a potom ak mi ostane čas tak celému okruhu. Čas mi neostal, ale p. Suchánek sa o širší okruh nezaujímal.Napísal som základné veci ku každej z podtém, dokopy asi jednú A4 pomerne veľkým písmom. Rozpísal som na odrážky tipy entít OntoUML ktoré poznám aby to vyzeralo že toho mám viac lol. K rozdeleniu entít špecificky v UFO som nenapísal nič, len v OntoUML.Pri skúške sa ma p. Suchánek spýtal na niekoľko detailov. Uviedol som ako príklad non-sortálov vodu a piesok, čo neboli dobré príklady, spýtal sa ma aký typ entít by to mal byť v OntoUML. Správne som odpovedal, že Quantity. Ďalej sa ma spýtal ako sa volajú tie „typy entít“ ako Kind, Phase, Role atď.. chcel počuť niečo iné než „typ entity.“ Nevedel som, chcel počuť že ide o interface. Mal ešte asi dve malé otázky, ale už si na ne nespomínam.Celkovo p. Suchánek pôsobil že ho to tam nebaví a že je tam za trest, ale nebol ku mne zlý.",
Scholtzová Jiřina ,2025 LS,FALSE,LA1,"Matice: součin matic, regulární matice, inverzní matice a její výpočet.",,,
Krásenský Jakub,2025 LS,FALSE,LA1,"Gaussova eliminační metoda. Celé znění Frobeniovy věty, vlastnosti a popis množiny řešení soustavy lineárních rovnic. Jaký je vztah mezi množinou
řešení soustavy lineárních rovnic a regularity matice. ",A,,
